pmcid,pmid,month,year,title,journal,refs,spm,afni,nilearn,fsl,esearch_url,efetch_url,elink_url,pm_pmc_cnvrt_urls
4402026,30341361,3,2015,Functional MRI of music emotion processing in frontotemporal dementia,Annals of the New York Academy of Sciences,[4402026],5,0,0,2,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4402026&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=4402026,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
1800344,30248908,2,2007,A Rapid Sound-Action Association Effect in Human Insular Cortex,PLoS ONE,[1800344],6,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=1800344&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=1800344,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
2244806,30169831,2,2008,Neural Substrates of Spontaneous Musical Performance: An fMRI Study of Jazz Improvisation,PLoS ONE,[2244806],4,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2244806&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=2244806,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
2440538,30013922,7,2008,Cognitive Components of Regularity Processing in the Auditory Domain,PLoS ONE,[2440538],0,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2440538&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=2440538,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
2691588,29885961,6,2009,Scale-Free Music of the Brain,PLoS ONE,[2691588],0,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=2691588&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=2691588,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
3045443,29545619,2,2011,The Effect of Conditional Probability of Chord Progression on Brain Response: An MEG Study,PLoS ONE,"[3045443, 14287410, 7387835, 7199396, 7198832, 7192601, 7041911, 6980046, 6975441, 6941274, 6890712, 6889887, 6683590, 6683124, 6682382, 6542297, 6538808, 6408733, 6332878, 6323998, 6300219, 6262918, 6216456, 6169370, 4074675, 4040369, 4039603, 4039227, 3955782, 3856890, 3802104, 3791210, 3768295, 3768022, 3741760, 3731096, 3708576, 3539322, 3539321, 3330530, 3089944, 3085924, 2870801, 2431772, 2431763, 2421885, 570092, 159127]",0,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3045443&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=3045443,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
3084768,29480872,4,2011,The Music of Your Emotions: Neural Substrates Involved in Detection of Emotional Correspondence between Auditory and Visual Music Actions,PLoS ONE,[3084768],0,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3084768&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=3084768,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
3661572,29467495,5,2013,Scale-Free Brain Quartet: Artistic Filtering of Multi-Channel Brainwave Music,PLoS ONE,[3661572],0,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3661572&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=3661572,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
3769391,29335643,9,2013,Intra- and Inter-Brain Synchronization during Musical Improvisation on the Guitar,PLoS ONE,[3769391],0,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3769391&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=3769391,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
3940930,29247209,3,2014,Temporal Processing of Audiovisual Stimuli Is Enhanced in Musicians: Evidence from Magnetoencephalography (MEG),PLoS ONE,[3940930],3,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3940930&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=3940930,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
3979724,29213104,4,2014,Cerebral Activations Related to Audition-Driven Performance Imagery in Professional Musicians,PLoS ONE,[3979724],9,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3979724&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=3979724,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
3346725,29089542,5,2012,Musical Training Induces Functional Plasticity in Perceptual and Motor Networks: Insights from Resting-State fMRI,PLoS ONE,[3346725],6,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3346725&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=3346725,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
3460812,29025134,9,2012,Neural Substrates for Semantic Memory of Familiar Songs: Is There an Interface between Lyrics and Melodies?,PLoS ONE,[3460812],5,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3460812&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=3460812,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
3498178,28900231,11,2012,Scale-Free Brain-Wave Music from Simultaneously EEG and fMRI Recordings,PLoS ONE,[3498178],0,0,0,0,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?&db=pubmed&retmax=100000&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&usehistory=y&term=%22functional+neuroimaging%22[mesh]+AND+music[mesh]+AND+pubmed+pmc+open+access[filter],https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3498178&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&WebEnv=NCID_1_16670138_130.14.18.97_9001_1591206641_791062327_0MetA0_S_MegaStore&query_key=1,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?&dbfrom=pubmed&api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&email=kendra.oudyk@mail.mcgill.ca&tool=methnet&linkname=pubmed_pubmed_refs&id=3498178,"['https://www.ncbi.nlm.nih.gov/pmc/utils/idconv/v1.0/?api_key=c2ebc1367e0e6b4ce473b54a14e381487f08&tool=methnet&email=kendra.oudyk@mail.mcgill.ca&ids=31993668,31658945,31600231,31198419,31182868,30892654,30637328,30559400,30462721,30452442,30341361,30248908,30169831,30013922,29885961,29545619,29480872,29467495,29335643,29247209,29213104,29089542,29025134,28900231,28422990,28391368,28367404,27939961,27835631,27524998,27490304,27284693,26900566,26863437,26780880,26725925,26527118,26525171,26508813,26504354,26504353,26504352,26494943,25773639,25613599,25478236,25167363,25070060,24937544,24907450,24714661,24595014,24586366,24581119,24475030,24465675,24069414,24056298,24040094,23717527,23585888,23166768,23155479,23029492,22989579,22586478,22499797,22178712,21559468,21392373,21364895,20829245,20574661,19951416,19725935,19712445,19592570,19526057,18612421,18301756,17327919,14575529']"
